MULTIPLICATION TABLES (1 to 50)
==================================================
Number,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1,1,2,3,4,5,6,7,8,9,10,11,12
2,2,4,6,8,10,12,14,16,18,20,22,24
3,3,6,9,12,15,18,21,24,27,30,33,36
4,4,8,12,16,20,24,28,32,36,40,44,48
5,5,10,15,20,25,30,35,40,45,50,55,60
6,6,12,18,24,30,36,42,48,54,60,66,72
7,7,14,21,28,35,42,49,56,63,70,77,84
8,8,16,24,32,40,48,56,64,72,80,88,96
9,9,18,27,36,45,54,63,72,81,90,99,108
10,10,20,30,40,50,60,70,80,90,100,110,120
11,11,22,33,44,55,66,77,88,99,110,121,132
12,12,24,36,48,60,72,84,96,108,120,132,144
13,13,26,39,52,65,78,91,104,117,130,143,156
14,14,28,42,56,70,84,98,112,126,140,154,168
15,15,30,45,60,75,90,105,120,135,150,165,180
16,16,32,48,64,80,96,112,128,144,160,176,192
17,17,34,51,68,85,102,119,136,153,170,187,204
18,18,36,54,72,90,108,126,144,162,180,198,216
19,19,38,57,76,95,114,133,152,171,190,209,228
20,20,40,60,80,100,120,140,160,180,200,220,240
21,21,42,63,84,105,126,147,168,189,210,231,252
22,22,44,66,88,110,132,154,176,198,220,242,264
23,23,46,69,92,115,138,161,184,207,230,253,276
24,24,48,72,96,120,144,168,192,216,240,264,288
25,25,50,75,100,125,150,175,200,225,250,275,300
26,26,52,78,104,130,156,182,208,234,260,286,312
27,27,54,81,108,135,162,189,216,243,270,297,324
28,28,56,84,112,140,168,196,224,252,280,308,336
29,29,58,87,116,145,174,203,232,261,290,319,348
30,30,60,90,120,150,180,210,240,270,300,330,360
31,31,62,93,124,155,186,217,248,279,310,341,372
32,32,64,96,128,160,192,224,256,288,320,352,384
33,33,66,99,132,165,198,231,264,297,330,363,396
34,34,68,102,136,170,204,238,272,306,340,374,408
35,35,70,105,140,175,210,245,280,315,350,385,420
36,36,72,108,144,180,216,252,288,324,360,396,432
37,37,74,111,148,185,222,259,296,333,370,407,444
38,38,76,114,152,190,228,266,304,342,380,418,456
39,39,78,117,156,195,234,273,312,351,390,429,468
40,40,80,120,160,200,240,280,320,360,400,440,480
41,41,82,123,164,205,246,287,328,369,410,451,492
42,42,84,126,168,210,252,294,336,378,420,462,504
43,43,86,129,172,215,258,301,344,387,430,473,516
44,44,88,132,176,220,264,308,352,396,440,484,528
45,45,90,135,180,225,270,315,360,405,450,495,540
46,46,92,138,184,230,276,322,368,414,460,506,552
47,47,94,141,188,235,282,329,376,423,470,517,564
48,48,96,144,192,240,288,336,384,432,480,528,576
49,49,98,147,196,245,294,343,392,441,490,539,588
50,50,100,150,200,250,300,350,400,450,500,550,600


SQUARES OF NUMBERS (1 to 100)
==================================================
Number,Square
1,1
2,4
3,9
4,16
5,25
6,36
7,49
8,64
9,81
10,100
11,121
12,144
13,169
14,196
15,225
16,256
17,289
18,324
19,361
20,400
21,441
22,484
23,529
24,576
25,625
26,676
27,729
28,784
29,841
30,900
31,961
32,1024
33,1089
34,1156
35,1225
36,1296
37,1369
38,1444
39,1521
40,1600
41,1681
42,1764
43,1849
44,1936
45,2025
46,2116
47,2209
48,2304
49,2401
50,2500
51,2601
52,2704
53,2809
54,2916
55,3025
56,3136
57,3249
58,3364
59,3481
60,3600
61,3721
62,3844
63,3969
64,4096
65,4225
66,4356
67,4489
68,4624
69,4761
70,4900
71,5041
72,5184
73,5329
74,5476
75,5625
76,5776
77,5929
78,6084
79,6241
80,6400
81,6561
82,6724
83,6889
84,7056
85,7225
86,7396
87,7569
88,7744
89,7921
90,8100
91,8281
92,8464
93,8649
94,8836
95,9025
96,9216
97,9409
98,9604
99,9801
100,10000


CUBES OF NUMBERS (1 to 100)
==================================================
Number,Cube
1,1
2,8
3,27
4,64
5,125
6,216
7,343
8,512
9,729
10,1000
11,1331
12,1728
13,2197
14,2744
15,3375
16,4096
17,4913
18,5832
19,6859
20,8000
21,9261
22,10648
23,12167
24,13824
25,15625
26,17576
27,19683
28,21952
29,24389
30,27000
31,29791
32,32768
33,35937
34,39304
35,42875
36,46656
37,50653
38,54872
39,59319
40,64000
41,68921
42,74088
43,79507
44,85184
45,91125
46,97336
47,103823
48,110592
49,117649
50,125000
51,132651
52,140608
53,148877
54,157464
55,166375
56,175616
57,185193
58,195112
59,205379
60,216000
61,226981
62,238328
63,250047
64,262144
65,274625
66,287496
67,300763
68,314432
69,328509
70,343000
71,357911
72,373248
73,389017
74,405224
75,421875
76,438976
77,456533
78,474552
79,493039
80,512000
81,531441
82,551368
83,571787
84,592704
85,614125
86,636056
87,658503
88,681472
89,704969
90,729000
91,753571
92,778688
93,804357
94,830584
95,857375
96,884736
97,912673
98,941192
99,970299
100,1000000


PERFECT SQUARES WITH SQUARE ROOTS (1 to 50)
==================================================
Base Number,Perfect Square,Square Root
1,1,1.0
2,4,2.0
3,9,3.0
4,16,4.0
5,25,5.0
6,36,6.0
7,49,7.0
8,64,8.0
9,81,9.0
10,100,10.0
11,121,11.0
12,144,12.0
13,169,13.0
14,196,14.0
15,225,15.0
16,256,16.0
17,289,17.0
18,324,18.0
19,361,19.0
20,400,20.0
21,441,21.0
22,484,22.0
23,529,23.0
24,576,24.0
25,625,25.0
26,676,26.0
27,729,27.0
28,784,28.0
29,841,29.0
30,900,30.0
31,961,31.0
32,1024,32.0
33,1089,33.0
34,1156,34.0
35,1225,35.0
36,1296,36.0
37,1369,37.0
38,1444,38.0
39,1521,39.0
40,1600,40.0
41,1681,41.0
42,1764,42.0
43,1849,43.0
44,1936,44.0
45,2025,45.0
46,2116,46.0
47,2209,47.0
48,2304,48.0
49,2401,49.0
50,2500,50.0


PERFECT CUBES WITH CUBE ROOTS (1 to 50)
==================================================
Base Number,Perfect Cube,Cube Root
1,1,1.0
2,8,2.0
3,27,3.0
4,64,4.0
5,125,5.0
6,216,6.0
7,343,7.0
8,512,8.0
9,729,9.0
10,1000,10.0
11,1331,11.0
12,1728,12.0
13,2197,13.0
14,2744,14.0
15,3375,15.0
16,4096,16.0
17,4913,17.0
18,5832,18.0
19,6859,19.0
20,8000,20.0
21,9261,21.0
22,10648,22.0
23,12167,23.0
24,13824,24.0
25,15625,25.0
26,17576,26.0
27,19683,27.0
28,21952,28.0
29,24389,29.0
30,27000,30.0
31,29791,31.0
32,32768,32.0
33,35937,33.0
34,39304,34.0
35,42875,35.0
36,46656,36.0
37,50653,37.0
38,54872,38.0
39,59319,39.0
40,64000,40.0
41,68921,41.0
42,74088,42.0
43,79507,43.0
44,85184,44.0
45,91125,45.0
46,97336,46.0
47,103823,47.0
48,110592,48.0
49,117649,49.0
50,125000,50.0
